purchase_id,timestamp,card_number,company,amount,location,is_fraud
1,2024-10-25T18:27:47.824808Z,3467197959813688,VMware,7.26,Seattle,0
2,2024-10-25T18:29:12.824808Z,5558527363148344,Coupang,3.36,Kirkland,0
3,2024-10-25T18:44:27.824808Z,3733559019430571,BlackRock,12.24,Bellevue,0
4,2024-10-25T19:01:57.824808Z,3484747977073050,Arrow Electronics,79.69,Pasco,0
5,2024-10-25T20:01:46.824808Z,3489419026845772,Nvidia,30.83,Pasco,0
6,2024-10-25T20:17:59.824808Z,4008149596074749,HF Sinclair,20.37,Everett,0
7,2024-10-25T20:41:01.824808Z,4317584441838375,DaVita,35.00,Federal Way,0
8,2024-10-25T20:48:05.824808Z,3723337363717899,McDonald's,34.49,Yakima,0
9,2024-10-25T20:59:49.824808Z,3434761271941814,Andersons,4.85,Yakima,0
10,2024-10-25T21:34:59.824808Z,5290188213045165,Micron Technology,44.58,Issaquah,0
11,2024-10-25T22:06:43.824808Z,4800464011514496,CenterPoint Energy,7.76,Kennewick,0
12,2024-10-25T23:01:48.824808Z,5188368848391029,Darden Restaurants,119.48,Renton,0
13,2024-10-25T23:45:45.824808Z,3459351166260932,Illinois Tool Works,93.85,Renton,0
14,2024-10-25T23:53:51.824808Z,3479417422088320,AES,49.94,Olympia,0
15,2024-10-26T00:27:22.824808Z,5981916667365935,Molson Coors Beverage,92.81,Redmond,0
16,2024-10-26T00:52:43.824808Z,3734716539464972,CDW,25.16,Issaquah,0
17,2024-10-26T00:58:22.824808Z,4403679478113489,Lincoln National,66.02,Olympia,0
18,2024-10-26T01:29:13.824808Z,3759230622005098,Whirlpool,26.45,Tacoma,0
19,2024-10-26T01:49:48.824808Z,5112818827545376,Nucor,39.67,Bellingham,0
20,2024-10-26T02:21:24.824808Z,4247956124562107,Alphabet,24.23,Everett,0
21,2024-10-26T03:19:24.824808Z,3469739632880747,MGM Resorts International,25.96,Bellingham,0
22,2024-10-26T04:19:00.824808Z,3447843184715512,Activision Blizzard,144.79,Tacoma,0
23,2024-10-26T04:23:49.824808Z,4610365034655176,MetLife,23.38,Seattle,0
24,2024-10-26T04:27:19.824808Z,4876205282839149,DuPont,97.98,Richland,0
25,2024-10-26T04:33:12.824808Z,3770301994576589,Walmart,63.12,Pasco,0
26,2024-10-26T05:29:31.824808Z,3419276030093442,Loews,124.77,Yakima,0
27,2024-10-26T05:58:16.824808Z,3425337387394031,American Electric Power,1.39,Vancouver,0
28,2024-10-26T06:20:35.824808Z,3457924838080466,Oracle,17.68,Auburn,0
29,2024-10-26T06:38:50.824808Z,3759108331505113,Lowe's,28.53,Wenatchee,0
30,2024-10-26T06:56:47.824808Z,4162446259845825,Thermo Fisher Scientific,88.02,Richland,0
31,2024-10-26T07:20:04.824808Z,3756374708654123,AbbVie,34.06,Kennewick,0
32,2024-10-26T07:50:12.824808Z,3411821162427518,American Express,86.10,Pasco,0
33,2024-10-26T08:14:40.824808Z,3449551939392838,Quanta Services,20.02,Federal Way,0
34,2024-10-26T08:41:54.824808Z,4542462101878238,Quanta Services,139.85,Yakima,0
35,2024-10-26T09:03:44.824808Z,3498998100661741,PVH,88.67,Federal Way,0
36,2024-10-26T09:46:35.824808Z,4465487828969567,United Airlines Holdings,46.83,Kirkland,0
37,2024-10-26T10:42:01.824808Z,4481534106796566,International Business Machines,145.48,Federal Way,0
38,2024-10-26T10:44:45.824808Z,4782957716514697,Darden Restaurants,161.18,Redmond,0
39,2024-10-26T11:36:05.824808Z,4297149063812787,Berry Global Group,44.60,Auburn,0
40,2024-10-26T12:19:22.824808Z,4630252011577753,Delta Air Lines,195.25,Wenatchee,0
41,2024-10-26T12:25:42.824808Z,3747606458965478,EnLink Midstream,2.00,Federal Way,0
42,2024-10-26T12:30:37.824808Z,3754042278728062,Bath & Body Works,43.49,Bellingham,0
43,2024-10-26T12:59:44.824808Z,5496693270196076,J.M. Smucker,23.21,Kennewick,0
44,2024-10-26T13:43:31.824808Z,5546151031764864,PPG Industries,71.96,Kirkland,0
45,2024-10-26T14:43:13.824808Z,4639334541839001,Bank of New York Mellon,71.70,Federal Way,0
46,2024-10-26T15:08:17.824808Z,4634139423253303,NextEra Energy,64.28,Federal Way,0
47,2024-10-26T15:53:51.824808Z,3739120812554432,J.M. Smucker,48.70,Tacoma,0
48,2024-10-26T16:43:31.824808Z,3701019069636419,Cisco Systems,104.97,Renton,0
49,2024-10-26T17:34:01.824808Z,3417518146451184,AGCO,71.17,Vancouver,0
50,2024-10-26T17:57:41.824808Z,3459629096851536,Bath & Body Works,17.01,Tacoma,0
51,2024-10-26T18:08:39.824808Z,4019954213684953,Halliburton,68.02,Federal Way,0
52,2024-10-26T18:40:41.824808Z,5741056476503789,Constellation Energy,26.82,Yakima,0
53,2024-10-26T19:38:08.824808Z,4002943521248402,Albertsons,1.15,Spokane,0
54,2024-10-26T20:36:17.824808Z,3709866178586881,Universal Health Services,152.33,Vancouver,0
55,2024-10-26T21:20:10.824808Z,4257325904892042,Brighthouse Financial,71.38,Kennewick,0
56,2024-10-26T21:46:05.824808Z,3488930495585278,Williams,46.92,Renton,0
57,2024-10-26T22:41:05.824808Z,5290945401467646,Lear,30.12,Seattle,0
58,2024-10-26T22:48:35.824808Z,3737860075292228,Markel,20.13,Olympia,0
59,2024-10-26T23:11:33.824808Z,3453744943857788,UGI,10.98,Wenatchee,0
60,2024-10-26T23:19:40.824808Z,3748678748219593,Continental Resources,47.96,Bellevue,0
61,2024-10-26T23:38:51.824808Z,4245373557292081,Massachusetts Mutual Life Insurance,94.73,Redmond,0
62,2024-10-27T00:33:25.824808Z,5981345225674143,Emerson Electric,59.51,Richland,0
63,2024-10-27T01:00:50.824808Z,4002943521248402,Graybar Electric,129.99,Kirkland,0
64,2024-10-27T01:39:15.824808Z,3753974382342474,Ovintiv,181.94,Olympia,0
65,2024-10-27T02:26:06.824808Z,3781569989822120,Phillips 66,15.13,Kirkland,0
66,2024-10-27T03:12:09.824808Z,3423933288109007,Republic Services,23.30,Olympia,0
67,2024-10-27T04:05:18.824808Z,5260769554109227,International Business Machines,8.25,Federal Way,0
68,2024-10-27T04:26:49.824808Z,5063786717039371,Tesla,111.25,Seattle,0
69,2024-10-27T05:00:00.824808Z,3744330008467199,CenterPoint Energy,81.07,Bellevue,0
70,2024-10-27T05:21:33.824808Z,5546151031764864,Cisco Systems,38.44,Vancouver,0
71,2024-10-27T05:30:03.824808Z,3443619361031319,Lululemon athletica,56.03,Spokane,0
72,2024-10-27T06:02:56.824808Z,3751913906450993,Kimberly-Clark,59.50,Federal Way,0
73,2024-10-27T06:29:16.824808Z,3404871034548297,Automatic Data Processing,61.36,Seattle,0
74,2024-10-27T06:47:21.824808Z,3709148299019435,NRG Energy,217.31,Vancouver,0
75,2024-10-27T07:42:39.824808Z,3767111118684218,Dell Technologies,64.10,Yakima,0
76,2024-10-27T07:57:29.824808Z,5981345225674143,Pioneer Natural Resources,4.28,Issaquah,0
77,2024-10-27T08:27:03.824808Z,4610365034655176,Burlington Stores,123.18,Kennewick,0
78,2024-10-27T08:57:23.824808Z,4180866711221604,Uber Technologies,78.60,Spokane,0
79,2024-10-27T09:54:48.824808Z,3405235439449015,Avantor,38.25,Auburn,0
80,2024-10-27T10:52:38.824808Z,3757517302077138,Community Health Systems,240.54,Pasco,0
81,2024-10-27T11:36:38.824808Z,4162350277838921,Public Service Enterprise Group,75.19,Issaquah,0
82,2024-10-27T11:55:07.824808Z,3417108253815254,DTE Energy,106.33,Kirkland,0
83,2024-10-27T12:10:38.824808Z,5636054373427242,O'Reilly Automotive,10.34,Auburn,0
84,2024-10-27T12:40:28.824808Z,3751913906450993,American Airlines Group,5.54,Redmond,0
85,2024-10-27T13:34:08.824808Z,3737860075292228,PPG Industries,74.30,Spokane,0
